Versao API,Cache,Usuarios,Requests,Falhas,Mediana,Media,Minimo,Maximo,RPS,P90,P95,P99
Python,Com cache,10,543,0,17.0,22.26978418047601,13.875890999997864,441.249808999828,4.973034634811069,23,26,180
Python,Com cache,50,739,0,19.0,34.423864909338455,14.128859999800625,844.2114910003511,21.636496644144543,35,56,440
Python,Com cache,100,2723,0,29.0,54.0835535045895,14.513106999856973,2123.186173999784,45.63831759023554,58,79,1100
Ruby,Com cache,10,582,0,65.0,114.18947418900396,5.351226000129827,650.8774899998571,4.678588488794283,310,390,610
Ruby,Com cache,50,534,0,3400.0,3046.3089352340658,24.572367000018858,10906.529726999906,8.882323783808975,5900,7000,9300
Ruby,Com cache,100,623,0,3300.0,8066.211983163722,31.782122000095114,42693.90560500005,8.58268146691689,19000,26000,33000
Python,Sem cache,10,513,0,4003.337272999488,4006.297813555571,4003.337272999488,4076.509435000844,1.659589490714209,4000,4000,4000
Python,Sem cache,50,1230,0,4000.0,3607.426750155296,2507.4603820003176,4674.055018000217,8.575671663844485,4000,4000,4100
Python,Sem cache,100,794,0,3100.0,3347.240265977336,2517.2734300003867,6164.310660999945,16.33872768001698,4000,4000,5500
Ruby,Sem cache,10,558,0,370.0,632.2485252455203,2.941357000054268,3655.587218999244,3.7644239113778006,1700,2400,3100
Ruby,Sem cache,50,506,0,6100.0,10214.826161025694,61.119383000004746,57106.764089000535,3.59744003347254,28000,33000,40000
Ruby,Sem cache,100,685,0,41000.0,38639.48207763801,80.37490700007766,62221.59744000055,2.20067056007254,60000,60000,62000
